,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA,EMA,RSI,MACD,Signal,Middle Band,Upper Band,Lower Band
19,2018-10-11,928.7443620723004,939.9858108957446,925.1741122261924,934.79931640625,7179952,0.0,0.0,953.453857421875,947.8121968189522,46.38627718090742,-5.376938129907558,-3.4124052990771854,954.3946533203125,985.8489283193064,922.9403783213186
20,2018-10-12,938.3937958702988,963.53019373911,936.9464018406788,956.172607421875,4800160,0.0,0.0,953.7288635253906,949.3322714740291,51.59037064016511,-4.415009386100223,-3.6129261164817934,953.9471710205078,985.0110750466579,922.8832669943577
21,2018-10-15,960.1046608298896,970.139949184348,950.6001307101718,968.8131713867188,6292984,0.0,0.0,953.8253540039062,952.8742532763362,61.88825403179711,-2.602683935652749,-3.410877680315985,953.8555084228516,984.7221282116001,922.9888886341031
22,2018-10-16,966.3767203169596,973.7101596392034,958.8985180379216,961.4314575195312,4703002,0.0,0.0,951.765234375,954.4301085932807,56.023280715039775,-1.741965285127435,-3.0770952012782753,952.9665740966797,981.709673604238,924.2234745891213
23,2018-10-17,967.8723190364508,971.201336888164,947.3193368007502,952.6746826171876,3970398,0.0,0.0,949.0369018554687,954.110940233991,50.94872486322621,-1.7463077558700206,-2.8109377121966244,952.5420013427735,981.0248106407277,924.0591920448193
24,2018-10-19,945.0999508910992,955.6900256861652,944.665720956478,949.3697509765624,4933674,0.0,0.0,949.5193664550782,953.2489058235493,48.75071823212732,-1.993450303927716,-2.647440230542843,952.0245574951172,980.3338967078802,923.7152182823542
25,2018-10-22,971.6837636959634,974.5785514726148,959.4291503292178,964.3985595703124,10165580,0.0,0.0,951.1404418945312,955.276115595688,48.94056041579817,-0.9654838049964383,-2.311048945433562,952.930386352539,981.6228280572878,924.2379446477902
26,2018-10-23,951.9028005169284,964.3986473355816,951.9028005169284,957.6199951171876,9714282,0.0,0.0,953.0630737304688,955.7022755086879,42.14533459067576,-0.6898344667097263,-1.9868060496887952,953.2825897216796,982.0262297976232,924.5389496457361
27,2018-10-24,966.8591451052516,969.1749989507728,951.7097435277744,961.190185546875,9036168,0.0,0.0,955.5550048828125,956.7000773338127,44.019094270862894,-0.18120700822851177,-1.6256862413967386,954.8879913330078,981.4438219978266,928.332160668189
28,2018-10-25,952.1921375526,966.6660757771368,946.8126454002264,949.8763427734376,14923528,0.0,0.0,955.6346069335938,955.4593983228353,52.00726178028523,-0.6831734428183154,-1.4371836816810541,955.2836090087891,981.2581479618128,929.3090700557653
29,2018-10-26,949.8763729757184,953.9290286917626,940.3235498859405,946.2095947265624,7577856,0.0,0.0,956.775634765625,953.7776158507857,49.25531978444684,-1.361170653796762,-1.421981076104196,955.11474609375,981.2883712814144,928.9411209060856
30,2018-10-29,947.6088952631072,948.0189784747575,914.3670660129778,929.3717651367188,8522140,0.0,0.0,954.0955505371094,949.340188448228,46.774813632382674,-3.2200418188094773,-1.7815932246452522,953.91220703125,982.510860434309,925.3135536281909
31,2018-10-30,928.74442028105,932.1216727184355,916.345102747349,922.834228515625,6914352,0.0,0.0,949.49765625,944.5209230059365,45.34359263320333,-5.161239620786432,-2.4575225038734883,951.6615051269531,982.6292572818529,920.6937529720533
32,2018-10-31,917.6718623070946,925.3189148241568,909.4458169040452,922.3517456054688,11724702,0.0,0.0,945.5896850585938,940.4901634785787,39.87203154205552,-6.661792209233454,-3.2983764449454815,948.6774597167969,978.8133719881337,918.5415474454601
33,2018-11-01,931.1567416814142,931.1567416814142,914.7529441595656,922.56884765625,9814526,0.0,0.0,942.5791015625,937.2317424199734,44.812779184847535,-7.744202282065771,-4.1875416123695395,945.8080017089844,974.2863735186324,917.3296298993364
34,2018-11-02,929.2268773981845,945.6306748185052,922.4723725780522,940.5406494140624,15046434,0.0,0.0,941.69619140625,937.8333618734441,43.17315514669576,-7.0703433409884155,-4.764101958093315,945.607778930664,974.1796907847666,917.0358670765614
35,2018-11-05,940.7578440779032,945.461874471726,935.0165028952382,943.7008666992188,2852648,0.0,0.0,939.6264221191407,938.9001809326758,38.04273275751831,-6.209720360519441,-5.053225638578541,945.383432006836,973.9405044877532,916.8263595259187
36,2018-11-06,943.2182817557456,953.3500382349632,937.40455983721,939.1414794921876,4242794,0.0,0.0,937.7785705566406,938.9440533980415,39.09345193191574,-5.828388852615831,-5.208258281386,945.4208221435547,973.9412955969922,916.9003486901172
37,2018-11-07,946.1131422462234,948.0188539825529,940.8060313004262,944.6416015625,479380,0.0,0.0,936.1237121582031,939.9799712461248,45.939999827252336,-5.024448288363146,-5.17149628278143,945.8393585205079,974.0383314718521,917.6403855691636
38,2018-11-09,944.7622430683376,945.5824683005508,934.1963144720894,938.5867309570312,5050810,0.0,0.0,934.9947509765625,939.7266548299259,44.697544955721106,-4.8203312759135315,-5.101263281407851,945.3146789550781,973.6499121697817,916.9794457403744
39,2018-11-12,941.5297702418252,946.5956490978532,924.9571211917404,926.8387451171876,3953882,0.0,0.0,933.057666015625,937.3833985185188,30.91447272113753,-5.5426392530881685,-5.189538475743915,944.916650390625,974.0852152767872,915.7480855044629
40,2018-11-13,925.8497231025484,934.8717890819707,920.6390809884192,930.0712890625,6675210,0.0,0.0,933.1276184082031,936.0539240719698,35.47815858528516,-5.787519327851555,-5.309134646165443,943.6115844726562,972.9945327553809,914.2286361899315
41,2018-11-14,935.2818078816264,945.630650369924,934.340966540668,944.5451049804688,13055318,0.0,0.0,935.2987060546875,937.5977751462423,42.13045337624102,-4.758815902054835,-5.199070897343321,942.3981811523438,969.2985953995028,915.4977669051848
42,2018-11-15,946.5473462500902,953.9773131494844,931.7356471342014,952.9400024414062,5196262,0.0,0.0,938.3575317382813,940.3872710180902,51.48956576909901,-3.2289417293809493,-4.805045063750848,941.9736083984375,967.8580174755153,916.0891993213596
43,2018-11-16,955.7625168506726,971.2013863808196,955.2800521778554,967.0039672851562,7906608,0.0,0.0,942.8010437011719,945.226670339375,59.1819904216987,-0.8716135811534969,-4.018358767231378,942.690072631836,970.5402430542122,914.8399022094598
44,2018-11-19,970.2363998344272,975.0610462781588,965.8459833495532,971.6355590820312,6143214,0.0,0.0,945.9105346679687,950.0282864744033,70.91680521589524,1.354700565284361,-2.94374690072823,943.8033630371094,974.4204780896181,913.1862479846008
45,2018-11-20,971.2012921880944,974.3855469409368,964.47093421289,970.9359130859376,2852584,0.0,0.0,948.6340393066406,953.8296731310459,75.26602975121847,3.0277133861350194,-1.74945484335558,944.1302307128906,975.7947984570613,912.4656629687198
46,2018-11-21,971.080676110802,976.4842563648784,966.85911063274,973.9754638671876,3272802,0.0,0.0,952.1174377441406,957.4925441739806,76.40667001770242,4.546445847857058,-0.4902747051130525,944.9480041503906,978.8455344748659,911.0504738259153
47,2018-11-22,971.3219868962648,981.8155933609332,965.001711563134,967.5828857421876,6487276,0.0,0.0,954.4115661621094,959.3271517318364,71.65740476450588,5.1745753523645135,0.6426953063824606,945.2676391601562,979.922139125682,910.6131391946305
48,2018-11-26,971.6356220875932,990.0175144512596,970.7430742165476,988.9561157226562,9092218,0.0,0.0,959.4485046386719,964.7142360938035,72.55566556699478,7.3127170953367795,1.9766996641733248,947.2216278076172,986.9986898303376,907.4445657848968
49,2018-11-27,984.7344670183523,997.6885717971207,984.5897040699804,995.8070068359376,6447720,0.0,0.0,966.3453308105469,970.3674671378278,73.46804693680878,9.451073397638538,3.4715744108663675,949.7014984130859,995.0122136091002,904.3907832170717
50,2018-11-28,996.2895505183247,1012.5004106593984,993.9255207344806,1007.9893188476562,6510554,0.0,0.0,974.1371337890625,977.207803812342,79.01593042368813,11.990527602397833,5.175365049172661,953.6323760986328,1004.7816422832706,902.483109913995
51,2018-11-29,1013.6582849884768,1031.2199520915292,1010.2810322541028,1028.1563720703125,15954318,0.0,0.0,982.4982604980469,986.4711798592457,81.32471150165665,15.452252064316895,7.230742452201508,958.8984832763672,1017.7968572745158,900.0001092782186
52,2018-11-30,1027.649577071049,1031.292208284705,1018.0002852675648,1026.9017333984375,6520462,0.0,0.0,989.89443359375,993.8221895936442,84.36255741725776,17.888250172459152,9.362243996253037,964.1259826660156,1027.7367740024522,900.515191329579
