,Date,Open,High,Low,Close,Volume,SMA,EMA,RSI,MACD,Signal,Middle Band,Upper Band,Lower Band
19,2018-08-13,1154.1684901142337,1167.22081574849,1142.7591535176125,1158.321533203125,1627092,1175.1707885742187,1172.415117630303,27.17075442029686,-2.5922330908740605,0.5230091304297567,1178.3174682617187,1210.317262224768,1146.3176742986693
20,2018-08-14,1168.5822249019,1170.939381114718,1155.5943381776476,1158.5062255859375,2146242,1172.1543823242187,1169.8862281676911,28.061150582682515,-3.6048990116341884,-0.30257249798303226,1177.5143615722657,1210.6947847058577,1144.3339384386736
21,2018-08-16,1153.5607096647234,1167.1956324427272,1133.3162932767818,1138.5391845703125,2292161,1167.533740234375,1164.1867656954405,26.453491497867745,-5.9500291557938,-1.4320638295451857,1175.4710205078125,1212.9197883939482,1138.0222526216767
22,2018-08-17,1145.3335220928902,1153.4683008813536,1138.3542452435847,1146.3966064453125,1750983,1165.1227294921875,1160.9521912863263,28.24677811055919,-7.092772348160452,-2.5642055332682387,1175.37451171875,1213.126539560226,1137.622483877274
23,2018-08-20,1201.7222178674351,1231.210654858891,1185.0829871585015,1223.6304931640625,11227838,1169.7414306640626,1172.3482461731874,61.543736494079745,-1.7461468791666448,-2.4005938024479203,1178.5806396484375,1221.2324255134229,1135.928853783452
24,2018-08-21,1234.0761376107243,1234.0761376107243,1215.5881055865937,1222.5673828125,3057182,1174.212744140625,1181.478998289426,59.76180884101349,2.3778972850675473,-1.4448955849448268,1181.3320007324219,1227.9042358087727,1134.759765656071
25,2018-08-23,1228.7147325707326,1260.7915402597257,1219.0085144200184,1249.83740234375,8248115,1180.9683837890625,1193.9077990265757,66.52358653104835,7.757273646603608,0.39553826136486014,1183.4000244140625,1238.0245429614706,1128.7755058666544
26,2018-08-24,1251.362498676115,1259.9594793654453,1239.6226425745135,1241.3790283203125,3506532,1186.6089233398438,1202.5389316254368,68.53493245408934,11.208740689850856,2.558178747062059,1185.195733642578,1244.9909065423021,1125.400560742854
27,2018-08-27,1252.564113469853,1262.7325306271728,1243.6898810645896,1253.5809326171875,2595682,1194.7064208984375,1211.8192954421186,69.37823660339794,14.75851788200498,4.998246574050643,1188.2746887207031,1255.4336690338992,1121.115708407507
28,2018-08-28,1259.3584851544222,1262.7325735305703,1249.7909512542687,1253.1187744140625,1889337,1204.5877563476563,1219.3282916188357,69.1510529294355,17.334626789773665,7.465522617195248,1191.0795288085938,1264.1979748060587,1117.9610828111288
